Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16276042,38,,2025-08-14 11:43:15,,3.72,7h99xur,0,,No,94086,pc8d23757,pd50c9725,pffe2652f,2025/08/14 4:41 AM,United States,a9b71fccd72f531f61fd23149010413102f68296,desktop,None of the above,1 = Not at all concerned,1 = Never,3 = Somewhat familiar,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,1 = Not at all aware,2 = Slightly aware,5 = Strongly support,5 = Strongly support,No,1 = Not concerned at all,1 = Entirely for public safety,"Police,Local government,Federal Government,crime victims","Local elected officials,Police department",2 = Slightly important,3 = Unsure,3 = Neutral,2 = Somewhat disagree,5 = Strongly agree,Increase use,Asian or Pacific Islander,Prime opinion,66,male,completedMastersDegree,1959,6,Moderate,"$200,000 or more",0,0,8,225000,,1 = Not at all concerned,2 = Slightly concerned
16276057,38,,2025-08-14 11:47:12,,7.57,7h99xur,0,,Yes,95054,pd74f36ff,pb1719598,pffe2652f,2025/08/14 4:42 AM,United States,3e217df0cd90034b875b332beffc7895a130065c,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,1 = Strongly oppose,Yes,2 = Slightly concerned,4 = Mostly for social control,Federal Government,Local elected officials,5 = Absolutely essential,4 = Likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Ban them,Require more transparency,Require public approval",Asian or Pacific Islander,Freecash website,45,male,completedAssociateDegreeOnly,1980,4,Moderate,"$150,000 to $199,999",0,0,7,175000,My privacy and rights dishonored,2 = Slightly concerned,5 = Extremely concerned
16276061,38,,2025-08-14 11:49:44,,1.2,7h99xur,0,,Yes,94015,pb60e8826,pd3c94f8a,pffe2652f,2025/08/14 4:47 AM,United States,5c500794700d19cd181f938e77af76f65df73334,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Facial recognition technology",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,3 = Equally both,"Police,Local government,Private companies","Local elected officials,Police department,Community organizations",3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require public approval",Black or African American,Instagram,24,male,completedBachelorsDegree,2001,5,Moderate,"$60,000 to $84,999",0,0,4,72500,,3 = Moderately concerned,3 = Moderately concerned
16276144,38,,2025-08-14 12:04:54,,27.15,7h99xur,0,,Yes,94114,pf576fcff,pa7c0ca7f,pffe2652f,2025/08/14 4:58 AM,United States,f6ae7edcf456883bec45a8f31331689a3130457b,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",4 = Very concerned,4 = Often,4 = Very familiar,3 = Somewhat aware,4 = Very aware,5 = Fully aware,5 = Fully aware,4 = Very aware,5 = Strongly support,4 = Somewhat support,No,4 = Very concerned,5 = Entirely for social control,"Police,Local government,Federal Government",Police department,5 = Absolutely essential,2 = Unlikely,5 = Strongly agree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Prizerebel,35,male,completedMastersDegree,1990,6,Conservative,"$200,000 or more",0,-1,8,225000,,2 = Slightly concerned,4 = Very concerned
16276145,38,,2025-08-14 12:05:24,,6.08,7h99xur,0,,Yes,94124,pcbcd8708,pbd25ff29,pffe2652f,2025/08/14 5:02 AM,United States,e1df9752ac5d2b5d52683241ef9f00ad02f220c8,smartphone,"Surveillance/security cameras,ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,4 = Often,3 = Somewhat familiar,4 = Very aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,5 = Strongly support,3 = Neutral / Not sure,Prefer not to say,3 = Moderately concerned,3 = Equally both,"Police,Local government,Federal Government","Local elected officials,Community organizations,Community members",5 = Absolutely essential,3 = Unsure,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Dave,47,female,completedAssociateDegreeOnly,1978,4,Moderate,"$25,000 to $39,999",1,0,2,32500,,4 = Very concerned,5 = Extremely concerned
16276181,38,,2025-08-14 12:15:32,,4.33,7h99xur,0,,No,94110,pc668d1db,pc60c2e88,pffe2652f,2025/08/14 5:12 AM,United States,3863aff81b6b3b88115d7888bf92d6a076cde73d,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,1 = Never,1 = Not at all familiar,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,2 = Somewhat oppose,2 = Somewhat oppose,Not sure,4 = Very concerned,3 = Equally both,"Police,Local government","Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Friend,60,male,completedAssociateDegreeOnly,1965,4,Very liberal,"$60,000 to $84,999",0,2,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16276186,38,,2025-08-14 12:16:29,,6.62,7h99xur,0,,Yes,94501,pc4c319ec,pabd4a068,pffe2652f,2025/08/14 5:11 AM,United States,7fe0cf2626587759f9ed3ebcd065503ba4f24f1d,tablet,Surveillance/security cameras,3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,1 = Strongly oppose,No,5 = Extremely concerned,3 = Equally both,Police,Police department,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Survey Junkie,75,female,completedOnlyHighSchoolOrTheEquivalent,1950,2,Very liberal,"$10,000 to $24,999",1,2,1,17500,,5 = Extremely concerned,5 = Extremely concerned
16276249,38,,2025-08-14 12:31:38,,12.23,7h99xur,0,,Yes,94533,pdbab71ab,pb7ea719e,pffe2652f,2025/08/14 5:26 AM,United States,2dee54c0bfade6608cfcc0565ca28c910a661e9f,smartphone,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,5 = All the time,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,5 = Extremely concerned,5 = Entirely for social control,Federal Government,Nobody,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Hispanic or Latino,Google playstore app,53,male,completedOnlyHighSchoolOrTheEquivalent,1972,2,Conservative,"$40,000 to $59,999",0,-1,3,50000,"It was a validation of racial profiling, even though i was doing anything wrong i wanted to know why was i choosen to surveil",5 = Extremely concerned,5 = Extremely concerned
16276302,38,,2025-08-14 12:47:23,,4.08,7h99xur,0,,Yes,94568,pa81dd43f,pd89501b2,pffe2652f,2025/08/14 5:45 AM,United States,d655b373df62a526242c188dbd74786841e38d38,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",2 = Slightly concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,2 = Slightly concerned,2 = Mostly for public safety,Police,Police department,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",White,App,44,female,completedBachelorsDegree,1981,5,Moderate,"$150,000 to $199,999",1,0,7,175000,,2 = Slightly concerned,3 = Moderately concerned
16276345,38,,2025-08-14 12:56:41,,3.7,7h99xur,0,,No,95014,pfab62e79,pdd108d97,pffe2652f,2025/08/14 5:54 AM,United States,fdc8caab274bf55c61a3c65d93e22b34a61305d8,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,3 = Sometimes,1 = Not at all familiar,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,3 = Neutral / Not sure,2 = Somewhat oppose,Not sure,2 = Slightly concerned,3 = Equally both,Police,"Local elected officials,Police department",4 = Very important,4 = Likely,2 = Somewhat disagree,4 = Somewhat agree,4 = Somewhat agree,Require more transparency,Asian or Pacific Islander,Freecash,44,male,completedBachelorsDegree,1981,5,Conservative,"$115,000 to $149,999",0,-1,6,132500,,3 = Moderately concerned,2 = Slightly concerned
16276395,38,,2025-08-14 13:06:19,,8.1,7h99xur,0,,Not sure,95023,pb1abba01,pa6bdfa2e,pffe2652f,2025/08/14 6:01 AM,United States,25d59c0389eb216e49888e6497a0362a9ea51a14,smartphone,Drones,1 = Not at all concerned,3 = Sometimes,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,4 = Very aware,3 = Somewhat aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,No,4 = Very concerned,4 = Mostly for social control,Police,Police department,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,Keep things as they are,Hispanic or Latino,Survey App called  top survey,43,male,completedOnlyHighSchoolOrTheEquivalent,1982,2,Moderate,"Less than $9,999",0,0,0,4500,,3 = Moderately concerned,3 = Moderately concerned
16276505,38,,2025-08-14 13:26:59,,3.73,7h99xur,0,,Yes,94110,pc4610e61,pa594d8f9,pffe2652f,2025/08/14 6:25 AM,United States,336298de9d2cdfb6bb3db7fcc92a2fcbb63e3f32,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,4 = Very aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,4 = Very concerned,3 = Equally both,"Police,Local government,Federal Government","Police department,Community members",5 = Absolutely essential,5 = Very likely,2 = Somewhat disagree,5 = Strongly agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Hispanic or Latino,White",Positly,50,male,completedOnlyHighSchoolOrTheEquivalent,1975,2,Very liberal,"$40,000 to $59,999",0,2,3,50000,,4 = Very concerned,4 = Very concerned
16276531,38,,2025-08-14 13:34:07,,5.38,7h99xur,0,,Yes,94804,pc834b60a,pc9798203,pffe2652f,2025/08/14 6:31 AM,United States,3d2df1c388892acbc0301e23c062872a11bdc863,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",1 = Not at all concerned,3 = Sometimes,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,4 = Very concerned,2 = Mostly for public safety,"Police,Local government",Police department,5 = Absolutely essential,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Prime Opinion,45,male,completedAssociateDegreeOnly,1980,4,Moderate,"$115,000 to $149,999",0,0,6,132500,,1 = Not at all concerned,3 = Moderately concerned
16276567,38,,2025-08-14 13:40:08,,3.25,7h99xur,0,,No,95006,pce24a959,pb291d280,pffe2652f,2025/08/14 6:37 AM,United States,164ebd57cffaff7e94d71cf5e760d9b8c2718636,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",5 = Extremely concerned,1 = Never,3 = Somewhat familiar,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,3 = Somewhat aware,1 = Strongly oppose,1 = Strongly oppose,Yes,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,None of them,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,1 = Strongly disagree,1 = Strongly disagree,Ban them,Another race or ethnicity,Survey Junkie,51,male,completedBachelorsDegree,1974,5,Moderate,"$115,000 to $149,999",0,0,6,132500,Violated,5 = Extremely concerned,5 = Extremely concerned
16276577,38,,2025-08-14 13:42:20,,6.83,7h99xur,0,,No,94945,pf899325d,pad726d51,pffe2652f,2025/08/14 6:37 AM,United States,3de11205e1bb6af0753dd3d35eb3d728910afce9,smartphone,"Drones,Speed Cameras",4 = Very concerned,4 = Often,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,No,4 = Very concerned,4 = Mostly for social control,No one — it shouldn’t be collected,"Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Web,51,female,completedBachelorsDegree,1974,5,Moderate,"$60,000 to $84,999",1,0,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16276601,38,,2025-08-14 13:46:30,,1.25,7h99xur,0,,Yes,94085,pbb5c0f29,pabcd1865,pffe2652f,2025/08/14 6:44 AM,United States,913a8349dcf1cb2e6703b14e913dcea5956ad03c,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,Speed Cameras",5 = Extremely concerned,5 = All the time,4 = Very familiar,5 = Fully aware,4 = Very aware,4 = Very aware,5 = Fully aware,5 = Fully aware,4 = Somewhat support,5 = Strongly support,No,5 = Extremely concerned,1 = Entirely for public safety,"Police,Local government,Private companies","Local elected officials,Police department",5 = Absolutely essential,5 = Very likely,5 = Strongly agree,5 = Strongly agree,5 = Strongly agree,"Reduce use,Require more transparency,Require public approval,Keep things as they are",Asian or Pacific Islander,Instagram,39,male,completedTradeTechicalVocationalTraing,1986,3,Very liberal,"$60,000 to $84,999",0,2,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16276624,38,,2025-08-14 13:54:16,,7,7h99xur,0,,No,94520,pf2a51292,pcb1f2057,pffe2652f,2025/08/14 6:50 AM,United States,96640d63571aa2be53a843e7ba735b53dae89e7d,phablet,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,5 = All the time,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,4 = Somewhat support,No,2 = Slightly concerned,4 = Mostly for social control,"Police,Local government,Federal Government","Local elected officials,Community organizations,Community members",4 = Very important,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Survey Junkie,56,female,completedBachelorsDegree,1969,5,Conservative,"$85,000 to $114,999",1,-1,5,100000,,2 = Slightly concerned,5 = Extremely concerned
16276700,38,,2025-08-14 14:12:46,,4.5,7h99xur,0,,No,94568,pa53ecc2a,pb7e30e83,pffe2652f,2025/08/14 7:09 AM,United States,435f3bf7da84961cf3abf062657f3718d0338c39,desktop,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,5 = Strongly support,4 = Somewhat support,No,1 = Not concerned at all,2 = Mostly for public safety,"Police,Local government,Federal Government","Local elected officials,Police department,Community organizations",4 = Very important,4 = Likely,3 = Neutral,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Positly,75,male,completedMastersDegree,1950,6,Moderate,"$60,000 to $84,999",0,0,4,72500,,1 = Not at all concerned,2 = Slightly concerned
16276782,38,,2025-08-14 14:33:05,,4.97,7h99xur,0,,Yes,94014,pd90e8ca7,pd8b98bda,pffe2652f,2025/08/14 7:30 AM,United States,7179738b9dd0bcf39592ef2c24c8d83dd3de3e9a,smartphone,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,4 = Somewhat support,4 = Somewhat support,No,2 = Slightly concerned,2 = Mostly for public safety,"Police,Local government,Private companies,Federal Government","Local elected officials,Police department,Community organizations,Community members",2 = Slightly important,2 = Unlikely,4 = Somewhat agree,3 = Neutral,4 = Somewhat agree,Require more transparency,Asian or Pacific Islander,Survey Junkie,34,male,completedOnlyHighSchoolOrTheEquivalent,1991,2,Conservative,"Less than $9,999",0,-1,0,4500,,1 = Not at all concerned,2 = Slightly concerned
16276866,38,,2025-08-14 14:49:47,,5.38,7h99xur,0,,Yes,94601,pf162ed00,pc1691814,pffe2652f,2025/08/14 7:40 AM,United States,bd95a1e568c2da014378c272f09cffaa9fa5faae,smartphone,"Surveillance/security cameras,ShotSpotter or gunshot detection,Speed Cameras",4 = Very concerned,3 = Sometimes,4 = Very familiar,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Strongly oppose,3 = Neutral / Not sure,Yes,3 = Moderately concerned,5 = Entirely for social control,Police,Police department,3 = Moderately important,1 = Very unlikely,2 = Somewhat disagree,3 = Neutral,3 = Neutral,Increase use,Black or African American,Hey cash,36,female,completedAssociateDegreeOnly,1989,4,Moderate,"$10,000 to $24,999",1,0,1,17500,Makes me feel safe and calm,2 = Slightly concerned,3 = Moderately concerned
16276904,38,,2025-08-14 14:57:26,,3.93,7h99xur,0,,Yes,94590,pa8eba916,pc63102bd,pffe2652f,2025/08/14 7:54 AM,United States,5d09ebdf0e59c4cf2e15ec098a5f925a2b5870a9,smartphone,"Automatic License Plate Readers (ALPRs),Drones,ShotSpotter or gunshot detection,Speed Cameras",1 = Not at all concerned,4 = Often,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,4 = Very concerned,2 = Mostly for public safety,"Police,Local government,Private companies,Federal Government","Local elected officials,Community organizations,Community members",5 = Absolutely essential,3 = Unsure,5 = Strongly agree,5 = Strongly agree,5 = Strongly agree,"Keep things as they are,Increase use",Black or African American,Flyer,32,female,completedOnlyHighSchoolOrTheEquivalent,1993,2,Very conservative,"$115,000 to $149,999",1,-2,6,132500,,5 = Extremely concerned,1 = Not at all concerned
16276912,38,,2025-08-14 14:58:23,,3.55,7h99xur,0,,Yes,94805,pafc2c327,pd7af56db,pffe2652f,2025/08/14 7:55 AM,United States,69ecb9b3409453bc3f0bcbba529e41ca22faa05b,smartphone,Surveillance/security cameras,2 = Slightly concerned,2 = Rarely,2 = Slightly familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,3 = Somewhat aware,5 = Strongly support,4 = Somewhat support,No,3 = Moderately concerned,3 = Equally both,Police,Police department,5 = Absolutely essential,4 = Likely,3 = Neutral,4 = Somewhat agree,4 = Somewhat agree,Require more transparency,Asian or Pacific Islander,Informative and relevant,34,female,completedProfessionalDegree,1991,7,Liberal,"$85,000 to $114,999",1,1,5,100000,,4 = Very concerned,4 = Very concerned
